doi,created
10.5281/zenodo.7418623,2026-06-04T13:54:06.046217+00:00
10.5281/zenodo.20543106,2026-06-04T13:39:14.445521+00:00
10.5281/zenodo.5749882,2026-06-04T13:17:45.255873+00:00
10.5281/zenodo.5639622,2026-06-04T13:05:35.602537+00:00
10.5281/zenodo.7382703,2026-06-04T12:55:35.854254+00:00
10.5281/zenodo.20027446,2026-06-04T12:48:38.282097+00:00
10.5281/zenodo.10359228,2026-05-07T18:11:51.013079+00:00
10.5281/zenodo.14347049,2026-05-07T17:55:05.837333+00:00
10.5281/zenodo.20040620,2026-05-05T15:28:42.960146+00:00
10.5281/zenodo.20040289,2026-05-05T15:20:12.540564+00:00
10.5281/zenodo.20040793,2026-05-05T15:12:46.126463+00:00
10.5281/zenodo.20039935,2026-05-05T14:10:30.239117+00:00
10.5281/zenodo.17664992,2026-04-30T19:24:12.548379+00:00
10.5281/zenodo.14343078,2026-03-04T19:28:06.796938+00:00
10.5281/zenodo.17884703,2025-12-10T19:16:33.770974+00:00
10.5281/zenodo.17873777,2025-12-10T02:37:15.345279+00:00
10.5281/zenodo.17873902,2025-12-10T02:33:01.406414+00:00
10.5281/zenodo.17873834,2025-12-10T02:20:41.161781+00:00
10.5281/zenodo.17873664,2025-12-10T01:34:15.429417+00:00
10.5281/zenodo.5746152,2025-07-18T18:39:23.621439+00:00
10.5281/zenodo.15977281,2025-07-16T13:56:09.011325+00:00
10.5281/zenodo.5748154,2025-02-11T14:44:50.166626+00:00
10.5281/zenodo.5575776,2025-01-16T19:36:39.341049+00:00
10.5281/zenodo.14346542,2024-12-10T01:07:08.079768+00:00
10.5281/zenodo.14346341,2024-12-10T00:59:01.861333+00:00
10.5281/zenodo.11623744,2024-06-12T18:55:29.060040+00:00
10.5281/zenodo.11623897,2024-06-12T18:44:03.441599+00:00
10.5281/zenodo.11623414,2024-06-12T17:56:36.131232+00:00
10.5281/zenodo.11623222,2024-06-12T17:48:40.226083+00:00
10.5281/zenodo.10371472,2023-12-13T14:20:03.695228+00:00
10.5281/zenodo.5639651,2023-12-11T18:49:41.338660+00:00
10.5281/zenodo.10019549,2023-10-18T18:35:10.675168+00:00
10.5281/zenodo.7901004,2023-05-05T17:13:47.011586+00:00
10.5281/zenodo.7577520,2023-01-27T22:04:15.259974+00:00
10.5281/zenodo.6703107,2022-12-07T13:22:00.827718+00:00
10.5281/zenodo.7384461,2022-12-01T01:12:56.692805+00:00
10.5281/zenodo.7384275,2022-11-30T22:20:27.646147+00:00
10.5281/zenodo.6703376,2022-06-23T14:17:04.777239+00:00
10.5281/zenodo.5565027,2022-06-09T21:27:10.074652+00:00
10.5281/zenodo.5746143,2022-06-09T14:33:30.571458+00:00
10.5281/zenodo.5944196,2022-02-02T01:52:19.977141+00:00
