date,count,ontology
2023-01-01,50,CL
2023-02-15,14,CL
2023-03-21,11,CL
2023-04-20,11,CL
2023-05-22,5,CL
2023-06-22,7,CL
2023-07-20,0,CL
2023-08-24,6,CL
2023-09-21,2,CL
2023-10-19,5,CL
2023-12-05,0,CL
2024-01-04,1,CL
2024-02-13,3,CL
2024-04-05,1,CL
2024-05-15,1,CL
2024-07-10,2,CL
2024-08-16,20,CL
2024-09-26,2,CL
2025-01-08,9,CL
2023-01-01,0,PCL
2023-06-01,0,PCL
2024-01-05,468,PCL
2024-06-01,0,PCL
2024-11-25,0,PCL
2025-01-08,0,PCL
2023-01-01,5,Uberon
2023-02-14,4,Uberon
2023-03-15,5,Uberon
2023-04-19,1,Uberon
2023-05-23,7,Uberon
2023-06-28,0,Uberon
2023-07-25,1,Uberon
2023-09-05,1,Uberon
2023-10-27,4,Uberon
2023-12-08,1,Uberon
2024-01-18,19,Uberon
2024-02-20,0,Uberon
2024-03-22,7,Uberon
2024-05-13,1,Uberon
2024-07-03,55,Uberon
2024-08-07,0,Uberon
2024-09-03,14,Uberon
2024-11-25,1,Uberon
2025-01-08,0,Uberon
