organ,ftu_label,ftu_iri,ftu_part_label,ftu_part_iri,ftu_part_type,ftu_part_count
kidney,cortical collecting duct,http://purl.obolibrary.org/obo/UBERON_0004203,kidney collecting duct alpha-intercalated cell,http://purl.obolibrary.org/obo/CL_4030015,CT,4
kidney,cortical collecting duct,http://purl.obolibrary.org/obo/UBERON_0004203,kidney collecting duct beta-intercalated cell,http://purl.obolibrary.org/obo/CL_4030005,CT,2
kidney,cortical collecting duct,http://purl.obolibrary.org/obo/UBERON_0004203,kidney cortex collecting duct principal cell,http://purl.obolibrary.org/obo/CL_1000714,CT,9
kidney,cortical collecting duct,http://purl.obolibrary.org/obo/UBERON_0004203,peritubular capillary endothelial cell,http://purl.obolibrary.org/obo/CL_1001033,CT,5
kidney,descending limb of loop of Henle,http://purl.obolibrary.org/obo/UBERON_0001289,kidney loop of Henle thin descending limb epithelial cell,http://purl.obolibrary.org/obo/CL_1001111,CT,3
kidney,descending limb of loop of Henle,http://purl.obolibrary.org/obo/UBERON_0001289,vasa recta descending limb cell,http://purl.obolibrary.org/obo/CL_1001285,CT,3
kidney,inner medullary collecting duct,http://purl.obolibrary.org/obo/UBERON_0004205,kidney inner medulla collecting duct principal cell,http://purl.obolibrary.org/obo/CL_1000718,CT,14
kidney,inner medullary collecting duct,http://purl.obolibrary.org/obo/UBERON_0004205,peritubular capillary endothelial cell,http://purl.obolibrary.org/obo/CL_1001033,CT,5
kidney,loop of Henle ascending limb thin segment,http://purl.obolibrary.org/obo/UBERON_0004193,kidney loop of Henle thin ascending limb epithelial cell,http://purl.obolibrary.org/obo/CL_1001107,CT,3
kidney,loop of Henle ascending limb thin segment,http://purl.obolibrary.org/obo/UBERON_0004193,vasa recta ascending limb cell,http://purl.obolibrary.org/obo/CL_1001131,CT,5
kidney,nephron,http://purl.obolibrary.org/obo/UBERON_0001285,cortical collecting duct,http://purl.obolibrary.org/obo/UBERON_0004203,AS,1
kidney,nephron,http://purl.obolibrary.org/obo/UBERON_0001285,descending thin limb,http://purl.obolibrary.org/obo/UBERON_0005096,AS,2
kidney,nephron,http://purl.obolibrary.org/obo/UBERON_0001285,distal convoluted tubule,http://purl.obolibrary.org/obo/UBERON_0001292,AS,1
kidney,nephron,http://purl.obolibrary.org/obo/UBERON_0001285,epithelial cell of proximal tubule segment 1,http://purl.obolibrary.org/obo/CL_4030009,CT,16
kidney,nephron,http://purl.obolibrary.org/obo/UBERON_0001285,kidney connecting tubule epithelial cell,http://purl.obolibrary.org/obo/CL_1000768,CT,16
kidney,nephron,http://purl.obolibrary.org/obo/UBERON_0001285,kidney cortex collecting duct principal cell,http://purl.obolibrary.org/obo/CL_1000714,CT,15
kidney,nephron,http://purl.obolibrary.org/obo/UBERON_0001285,kidney distal convoluted tubule epithelial cell,http://purl.obolibrary.org/obo/CL_1000849,CT,15
kidney,nephron,http://purl.obolibrary.org/obo/UBERON_0001285,kidney inner medulla collecting duct principal cell,http://purl.obolibrary.org/obo/CL_1000718,CT,14
kidney,nephron,http://purl.obolibrary.org/obo/UBERON_0001285,kidney loop of Henle thick ascending limb epithelial cell,http://purl.obolibrary.org/obo/CL_1001106,CT,11
kidney,nephron,http://purl.obolibrary.org/obo/UBERON_0001285,kidney loop of Henle thin ascending limb epithelial cell,http://purl.obolibrary.org/obo/CL_1001107,CT,2
kidney,nephron,http://purl.obolibrary.org/obo/UBERON_0001285,kidney loop of Henle thin descending limb epithelial cell,http://purl.obolibrary.org/obo/CL_1001111,CT,2
