version,nameOrgan,image,imageAlt,name,alt,url,svg,ai,png,csv
1.2,Kidney,organ:kidneys,Kidney icon,Nephron,Image of Nephron,https://purl.humanatlas.io/2d-ftu/kidney-nephron/v1.0,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-nephron/v1.0/assets/nephron_kidney.svg,,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-nephron/v1.0/assets/nephron_kidney.png,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-nephron/v1.0/assets/crosswalk.csv
1.2,Kidney,organ:kidneys,Kidney icon,Renal Corpuscle,Image of Renal Corpuscle,https://purl.humanatlas.io/2d-ftu/kidney-renal-corpuscle/v1.0,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-renal-corpuscle/v1.0/assets/renal_corpuscle_kidney.svg,,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-renal-corpuscle/v1.0/assets/renal_corpuscle_kidney.png,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-renal-corpuscle/v1.0/assets/crosswalk.csv
1.2,Large Intestine,organ:large-intestine,Large Intestine icon,Crypt of Lieberkuhn,Image of Crypt of Lieberkuhn,https://purl.humanatlas.io/2d-ftu/large-intestine-crypt-lieberkuhn/v1.0,https://cdn.humanatlas.io/digital-objects/2d-ftu/large-intestine-crypt-lieberkuhn/v1.0/assets/crypt_lieberkuhn_large_intestine.svg,,https://cdn.humanatlas.io/digital-objects/2d-ftu/large-intestine-crypt-lieberkuhn/v1.0/assets/crypt_lieberkuhn_large_intestine.png,https://cdn.humanatlas.io/digital-objects/2d-ftu/large-intestine-crypt-lieberkuhn/v1.0/assets/crosswalk.csv
1.2,Liver,organ:liver,Liver icon,Liver Lobule,Image of Liver Lobule,https://purl.humanatlas.io/2d-ftu/liver-liver-lobule/v1.0,https://cdn.humanatlas.io/digital-objects/2d-ftu/liver-liver-lobule/v1.0/assets/liver_lobule_liver.svg,,https://cdn.humanatlas.io/digital-objects/2d-ftu/liver-liver-lobule/v1.0/assets/liver_lobule_liver.png,https://cdn.humanatlas.io/digital-objects/2d-ftu/liver-liver-lobule/v1.0/assets/crosswalk.csv
1.2,Lung,organ:lungs,Lung icon,Pulmonary Alveolus,Image of Pulmonary Alveolus,https://purl.humanatlas.io/2d-ftu/lung-pulmonary-alveolus/v1.0,https://cdn.humanatlas.io/digital-objects/2d-ftu/lung-pulmonary-alveolus/v1.0/assets/pulmonary_alveolus_lung.svg,,https://cdn.humanatlas.io/digital-objects/2d-ftu/lung-pulmonary-alveolus/v1.0/assets/pulmonary_alveolus_lung.png,https://cdn.humanatlas.io/digital-objects/2d-ftu/lung-pulmonary-alveolus/v1.0/assets/crosswalk.csv
1.2,Pancreas,organ:pancreas,Pancreas icon,Islets of Langerhans,Image of Islets of Langerhans,https://purl.humanatlas.io/2d-ftu/pancreas-islets-langerhans/v1.0,https://cdn.humanatlas.io/digital-objects/2d-ftu/pancreas-islets-langerhans/v1.0/assets/islets_langerhans_pancreas.svg,,https://cdn.humanatlas.io/digital-objects/2d-ftu/pancreas-islets-langerhans/v1.0/assets/islets_langerhans_pancreas.png,https://cdn.humanatlas.io/digital-objects/2d-ftu/pancreas-islets-langerhans/v1.0/assets/crosswalk.csv
1.2,Prostate,organ:prostate,Prostate icon,Prostate Glandular Acinus,Image of Prostate Glandular Acinus,https://purl.humanatlas.io/2d-ftu/prostate-prostate-glandular-acinus/v1.0,https://cdn.humanatlas.io/digital-objects/2d-ftu/prostate-prostate-glandular-acinus/v1.0/assets/prostate_glandular_acinus_prostate.svg,,https://cdn.humanatlas.io/digital-objects/2d-ftu/prostate-prostate-glandular-acinus/v1.0/assets/prostate_glandular_acinus_prostate.png,https://cdn.humanatlas.io/digital-objects/2d-ftu/prostate-prostate-glandular-acinus/v1.0/assets/crosswalk.csv
1.2,Thymus,organ:thymus,Thymus icon,Thymus Lobule,Image of Thymus Lobule,https://purl.humanatlas.io/2d-ftu/thymus-thymus-lobule/v1.0,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.0/assets/thymus_lobule_thymus.svg,,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.0/assets/thymus_lobule_thymus.png,https://cdn.humanatlas.io/digital-objects/2d-ftu/thymus-thymus-lobule/v1.0/assets/crosswalk.csv
1.3,Kidney,organ:kidneys,Kidney icon,Ascending Thin Limb of Loop of Henle,Image of Ascending Thin Limb of Loop of Henle,https://purl.humanatlas.io/2d-ftu/kidney-ascending-thin-loop-of-henle/v1.0,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-ascending-thin-loop-of-henle/v1.0/assets/2d-ftu-kidney-ascending-thin-loop-of-henle.svg,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-ascending-thin-loop-of-henle/v1.0/assets/2d-ftu-kidney-ascending-thin-loop-of-henle.ai,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-ascending-thin-loop-of-henle/v1.0/assets/2d-ftu-kidney-ascending-thin-loop-of-henle.png,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-ascending-thin-loop-of-henle/v1.0/assets/crosswalk.csv
1.3,Kidney,organ:kidneys,Kidney icon,Cortical Collecting Duct,Image of Cortical Collecting Duct,https://purl.humanatlas.io/2d-ftu/kidney-cortical-collecting-duct/v1.0,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-cortical-collecting-duct/v1.0/assets/2d-ftu-kidney-cortical-collecting-duct.svg,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-cortical-collecting-duct/v1.0/assets/2d-ftu-kidney-cortical-collecting-duct.ai,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-cortical-collecting-duct/v1.0/assets/2d-ftu-kidney-cortical-collecting-duct.png,https://cdn.humanatlas.io/digital-objects/2d-ftu/kidney-cortical-collecting-duct/v1.0/assets/crosswalk.csv
