country,iso3,countryId,publications
United States,USA,840,4849906
United Kingdom,GBR,826,2402976
Canada,CAN,124,1742162
Germany,DEU,276,1739148
Japan,JPN,392,1576961
Australia,AUS,36,1389091
China,CHN,156,1291165
France,FRA,250,1183250
Taiwan,TWN,158,1050468
Netherlands,NLD,528,785818
Sweden,SWE,752,784871
Switzerland,CHE,756,770079
Italy,ITA,380,746344
Hong Kong,HKG,344,627351
Israel,ISR,376,571737
Georgia,GEO,268,571542
Spain,ESP,724,499808
Singapore,SGP,702,493129
South Korea,KOR,410,493075
Belgium,BEL,56,467538
Denmark,DNK,208,435232
India,IND,356,332798
Austria,AUT,40,327817
Brazil,BRA,76,315814
Ireland,IRL,372,289556
New Zealand,NZL,554,265777
Finland,FIN,246,231418
Norway,NOR,578,212009
Mexico,MEX,484,181279
Poland,POL,616,173793
Russia,RUS,643,173415
Turkey,TUR,792,143626
Czech Republic,CZE,203,110620
Hungary,HUN,348,104315
Portugal,PRT,620,102591
Greece,GRC,300,100348
South Africa,ZAF,710,97957
Argentina,ARG,32,97549
Saudi Arabia,SAU,682,87500
Chile,CHL,152,78036
Lebanon,LBN,422,76774
Malaysia,MYS,458,70559
Iran,IRN,364,66481
Egypt,EGY,818,66367
Thailand,THA,764,56997
Pakistan,PAK,586,45856
United Arab Emirates,ARE,784,37645
Colombia,COL,170,33654
Romania,ROU,642,28182
Iceland,ISL,352,22108
Serbia,SRB,688,22079
Croatia,HRV,191,21591
Slovakia,SVK,703,21417
Nepal,NPL,524,19903
Jordan,JOR,400,18639
Luxembourg,LUX,442,17884
Slovenia,SVN,705,17066
Venezuela,VEN,862,15861
Vietnam,VNM,704,15201
Ukraine,UKR,804,15158
Kuwait,KWT,414,14431
Bulgaria,BGR,100,14090
Estonia,EST,233,13318
Nigeria,NGA,566,13172
Uruguay,URY,858,11634
Bangladesh,BGD,50,11554
Kenya,KEN,404,11374
Tunisia,TUN,788,9766
Philippines,PHL,608,9728
Indonesia,IDN,360,9297
Cyprus,CYP,196,9253
Cuba,CUB,192,9141
Yugoslavia,SRB,688,8916
Peru,PER,604,8816
Lithuania,LTU,440,7334
Morocco,MAR,504,6126
Iraq,IRQ,368,5203
Algeria,DZA,12,4776
Costa Rica,CRI,188,3929
Ghana,GHA,288,3555
Ethiopia,ETH,231,3478
Latvia,LVA,428,3319
Albania,ALB,8,3157
Zimbabwe,ZWE,716,3045
Belarus,BLR,112,2742
Armenia,ARM,51,2386
Kazakhstan,KAZ,398,2335
Cameroon,CMR,120,1746
Bosnia and Herzegovina,BIH,70,1688
Bolivia,BOL,68,1409
Cambodia,KHM,116,1029
North Korea,PRK,408,877
Afghanistan,AFG,4,260
