publication_year,unique_only_in_hra_v071,unique_only_in_hralit_v050,unique_in_both_datasets
1781,0,1,0
1785,0,4,0
1786,0,6,0
1787,0,3,0
1788,0,3,0
1789,0,1,0
1790,0,7,0
1791,0,2,0
1792,0,3,0
1795,0,1,0
1796,0,1,0
1797,0,6,0
1798,0,2,0
1799,0,13,0
1800,0,19,0
1801,0,8,0
1802,0,9,0
1803,0,7,0
1804,0,10,0
1805,0,18,0
1806,0,10,0
1807,0,15,0
1808,0,6,0
1809,0,13,0
1810,0,12,0
1811,0,14,0
1812,0,10,0
1813,0,20,0
1814,0,24,0
1815,0,14,0
1816,0,29,0
1817,0,15,0
1818,0,20,0
1819,0,13,0
1820,0,19,0
1821,0,23,0
1822,0,19,0
1823,0,23,0
1824,0,21,0
1825,0,15,0
1826,0,26,0
1827,0,19,0
1828,0,37,0
1829,0,43,0
1830,0,50,0
1831,0,29,0
1832,0,20,0
1833,0,23,0
1834,0,26,0
1835,0,31,0
1836,0,16,0
1837,0,15,0
1838,0,20,0
1839,0,16,0
1840,0,30,0
1841,0,86,0
1842,0,89,0
1843,0,100,0
1844,0,60,0
1845,0,59,0
1846,0,77,0
1847,0,53,0
1848,0,49,0
1849,0,74,0
1850,0,64,0
1851,0,55,0
1852,0,68,0
1853,0,49,0
1854,0,48,0
1855,0,69,0
1856,0,73,0
1857,0,41,0
1858,0,78,0
1859,0,53,0
1860,0,70,0
1861,0,41,0
1862,0,36,0
1863,0,31,0
1864,0,33,0
1865,0,39,0
1866,0,82,0
1867,0,79,0
1868,0,63,0
1869,0,92,0
1870,0,76,0
1871,0,88,0
1872,0,141,0
1873,0,127,0
1874,0,136,0
1875,0,140,0
1876,0,125,0
1877,0,115,0
1878,0,183,0
1879,0,134,0
1880,0,120,0
1881,0,149,0
1882,0,120,0
1883,0,113,0
1884,0,119,0
1885,0,114,0
1886,0,146,0
1887,0,169,0
1888,0,131,0
1889,0,159,0
1890,0,136,0
1891,0,137,0
1892,0,171,0
1893,0,172,0
1894,0,207,0
1895,0,182,0
1896,0,208,0
1897,0,214,0
1898,0,223,0
1899,0,193,0
1900,0,175,0
1901,0,212,0
1902,1,177,0
1903,0,218,1
1904,0,236,0
1905,0,202,0
1906,0,192,0
1907,0,230,0
1908,0,294,0
1909,0,321,0
1910,0,283,0
1911,0,290,0
1912,0,303,0
1913,0,273,1
1914,0,266,0
1915,0,220,0
1916,1,187,0
1917,0,199,0
1918,0,172,0
1919,0,174,0
1920,0,188,0
1921,0,235,0
1922,0,204,0
1923,0,258,0
1924,0,259,0
1925,1,286,0
1926,0,303,0
1927,0,335,0
1928,0,274,1
1929,0,296,1
1930,0,335,0
1931,0,307,0
1932,0,314,0
1933,1,307,0
1934,0,282,0
1935,0,322,0
1936,1,306,3
1937,0,305,2
1938,2,301,2
1939,0,290,0
1940,2,230,1
1941,1,282,0
1942,1,240,1
1943,0,215,1
1944,0,190,0
1945,2106,724,1465
1946,7044,1839,5054
1947,8250,2367,5740
1948,9170,2791,6226
1949,9504,2134,6575
1950,13932,1826,10329
1951,15524,3529,10478
1952,15183,4829,10442
1953,16776,4722,11336
1954,17157,4667,11881
1955,17705,4834,12440
1956,16342,4965,11884
1957,15770,5422,12229
1958,15906,5429,11856
1959,15793,5601,12620
1960,15338,5551,12197
1961,17158,6170,13816
1962,17290,7002,14069
1963,18605,10426,17460
1964,22046,13194,23222
1965,21151,13654,19023
1966,21464,14351,19738
1967,25229,15146,24786
1968,28114,16078,30021
1969,31498,16106,34027
1970,31138,16754,34381
1971,32625,17957,37383
1972,35409,17381,40780
1973,36177,17563,42050
1974,37991,17020,44450
1975,38620,18155,42246
1976,38544,19023,38462
1977,40142,20151,38647
1978,41712,20875,39662
1979,43505,21662,42332
1980,45083,21877,42743
1981,46013,22165,43047
1982,48392,23391,45106
1983,50478,25296,46142
1984,53023,25862,49300
1985,55526,26406,50698
1986,57317,27285,50351
1987,58745,29264,49685
1988,61653,29845,50786
1989,64449,32462,52420
1990,64676,33179,54168
1991,64875,32794,53315
1992,64671,34110,52635
1993,66091,34402,53733
1994,66492,35615,55919
1995,66837,36909,57463
1996,67325,38234,57130
1997,68710,39227,57468
1998,69658,40912,58538
1999,69984,41807,57707
2000,73465,44517,60378
2001,73357,45334,59689
2002,76965,48108,59562
2003,79699,52904,61483
2004,84291,56543,62780
2005,93239,61255,63175
2006,97557,67030,62505
2007,101031,71983,61755
2008,105765,77287,62389
2009,107826,81586,63221
2010,115515,87429,64446
2011,123887,94451,64353
2012,124742,104874,67280
2013,129974,110974,70732
2014,130279,116838,71657
2015,131410,121728,72243
2016,128039,122041,70972
2017,129519,123675,71746
2018,130674,128246,74201
2019,133745,135255,76225
2020,144958,149524,79411
2021,138569,163711,79154
2022,115675,165366,69070
2023,167204,40187,12489
2024,184470,0,0
2025,22961,0,0
UNKNOWN,269490,256770,217426
