country,iso3,count
United States,USA,4849906
United Kingdom,GBR,2402976
Canada,CAN,1742162
Germany,DEU,1739148
Japan,JPN,1576961
Australia,AUS,1389091
China,CHN,1291165
France,FRA,1183250
Taiwan,TWN,1050468
Netherlands,NLD,785818
Sweden,SWE,784871
Switzerland,CHE,770079
Italy,ITA,746344
Hong Kong,HKG,627351
Israel,ISR,571737
Georgia,GEO,571542
Spain,ESP,499808
Singapore,SGP,493129
South Korea,KOR,493075
Belgium,BEL,467538
Denmark,DNK,435232
India,IND,332798
Austria,AUT,327817
Brazil,BRA,315814
Ireland,IRL,289556
New Zealand,NZL,265777
Finland,FIN,231418
Norway,NOR,212009
Mexico,MEX,181279
Poland,POL,173793
Russia,RUS,173415
Turkey,TUR,143626
Czech Republic,CZE,110620
Hungary,HUN,104315
Portugal,PRT,102591
Greece,GRC,100348
South Africa,ZAF,97957
Argentina,ARG,97549
Saudi Arabia,SAU,87500
Chile,CHL,78036
Lebanon,LBN,76774
Malaysia,MYS,70559
Iran,IRN,66481
Egypt,EGY,66367
Thailand,THA,56997
Pakistan,PAK,45856
United Arab Emirates,ARE,37645
Colombia,COL,33654
Romania,ROU,28182
Iceland,ISL,22108
Serbia,SRB,22079
Croatia,HRV,21591
Slovakia,SVK,21417
Nepal,NPL,19903
Jordan,JOR,18639
Luxembourg,LUX,17884
Slovenia,SVN,17066
Venezuela,VEN,15861
Vietnam,VNM,15201
Ukraine,UKR,15158
Kuwait,KWT,14431
Bulgaria,BGR,14090
Estonia,EST,13318
Nigeria,NGA,13172
Uruguay,URY,11634
Bangladesh,BGD,11554
Kenya,KEN,11374
Tunisia,TUN,9766
Philippines,PHL,9728
Indonesia,IDN,9297
Cyprus,CYP,9253
Cuba,CUB,9141
Yugoslavia,SRB,8916
Peru,PER,8816
Lithuania,LTU,7334
Morocco,MAR,6126
Iraq,IRQ,5203
Algeria,DZA,4776
Costa Rica,CRI,3929
Ghana,GHA,3555
Ethiopia,ETH,3478
Latvia,LVA,3319
Albania,ALB,3157
Zimbabwe,ZWE,3045
Belarus,BLR,2742
Armenia,ARM,2386
Kazakhstan,KAZ,2335
Cameroon,CMR,1746
Bosnia and Herzegovina,BIH,1688
Bolivia,BOL,1409
Cambodia,KHM,1029
North Korea,PRK,877
Afghanistan,AFG,260
