BioArt ID,Title,Download Events,Page Views
556,Ascending Thin Limb of Loop of Henle,122,262
557,Cortical Collecting Duct,82,185
558,Descending Thin Limb of Loop of Henle,75,85
559,Inner Medullary Collecting Duct,99,154
560,Nephron,209,297
561,Outer Medullary Collecting Duct,68,57
562,Renal Corpuscle,221,297
563,Thick Ascending Limb of Loop of Henle,79,94
564,Crypt of Lieberkuhn,63,113
565,Liver Lobule,142,265
566,Bronchial Submucosal Gland,108,165
567,Pulmonary Alveolus,147,191
568,Acinus (Pancreas),183,387
569,Intercalated Duct,80,76
570,Islets of Langerhans,233,288
571,Dermal Papilla,71,141
572,Epidermal Ridge,144,244
573,Intestinal Villus,174,339
574,Red Pulp,69,117
575,White Pulp,76,162
576,Thymus Lobule,89,276
577,Prostate Glandular Acinus,165,436
