BioArt ID,Title,Image File Name,Image File Extension,Downloads
556,Ascending Thin Limb of Loop of Henle,2d-ftu-kidney-ascending-thin-loop-of-henle.ai,.ai,0
556,Ascending Thin Limb of Loop of Henle,2d-ftu-kidney-ascending-thin-loop-of-henle.png,.png,2
556,Ascending Thin Limb of Loop of Henle,2d-ftu-kidney-ascending-thin-loop-of-henle.svg,.svg,1
557,Cortical Collecting Duct,2d-ftu-kidney-cortical-collecting-duct.ai,.ai,1
557,Cortical Collecting Duct,2d-ftu-kidney-cortical-collecting-duct.png,.png,3
557,Cortical Collecting Duct,2d-ftu-kidney-cortical-collecting-duct.svg,.svg,2
558,Descending Thin Limb of Loop of Henle,2d-ftu-kidney-descending-thin-loop-of-henle.ai,.ai,0
558,Descending Thin Limb of Loop of Henle,2d-ftu-kidney-descending-thin-loop-of-henle.png,.png,3
558,Descending Thin Limb of Loop of Henle,2d-ftu-kidney-descending-thin-loop-of-henle.svg,.svg,1
559,Inner Medullary Collecting Duct,2d-ftu-kidney-inner-medullary-collecting-duct.ai,.ai,2
559,Inner Medullary Collecting Duct,2d-ftu-kidney-inner-medullary-collecting-duct.png,.png,5
559,Inner Medullary Collecting Duct,2d-ftu-kidney-inner-medullary-collecting-duct.svg,.svg,3
560,Nephron,2d-ftu-kidney-nephron.ai,.ai,5
560,Nephron,2d-ftu-kidney-nephron.png,.png,15
560,Nephron,2d-ftu-kidney-nephron.svg,.svg,7
561,Outer Medullary Collecting Duct,2d-ftu-kidney-outer-medullary-collecting-duct.ai,.ai,4
561,Outer Medullary Collecting Duct,2d-ftu-kidney-outer-medullary-collecting-duct.png,.png,5
561,Outer Medullary Collecting Duct,2d-ftu-kidney-outer-medullary-collecting-duct.svg,.svg,5
562,Renal Corpuscle,2d-ftu-kidney-renal-corpuscle.ai,.ai,5
562,Renal Corpuscle,2d-ftu-kidney-renal-corpuscle.png,.png,16
562,Renal Corpuscle,2d-ftu-kidney-renal-corpuscle.svg,.svg,6
563,Thick Ascending Limb of Loop of Henle,2d-ftu-kidney-thick-ascending-loop-of-henle.ai,.ai,2
563,Thick Ascending Limb of Loop of Henle,2d-ftu-kidney-thick-ascending-loop-of-henle.png,.png,2
563,Thick Ascending Limb of Loop of Henle,2d-ftu-kidney-thick-ascending-loop-of-henle.svg,.svg,2
564,Crypt of Lieberkuhn,2d-ftu-large-intestine-crypt-lieberkuhn.ai,.ai,1
564,Crypt of Lieberkuhn,2d-ftu-large-intestine-crypt-lieberkuhn.png,.png,3
564,Crypt of Lieberkuhn,2d-ftu-large-intestine-crypt-lieberkuhn.svg,.svg,3
565,Liver Lobule,2d-ftu-liver-liver-lobule.ai,.ai,2
565,Liver Lobule,2d-ftu-liver-liver-lobule.png,.png,6
565,Liver Lobule,2d-ftu-liver-liver-lobule.svg,.svg,3
566,Bronchial Submucosal Gland,2d-ftu-lung-bronchial-submucosal-gland.ai,.ai,2
566,Bronchial Submucosal Gland,2d-ftu-lung-bronchial-submucosal-gland.png,.png,5
566,Bronchial Submucosal Gland,2d-ftu-lung-bronchial-submucosal-gland.svg,.svg,3
567,Pulmonary Alveolus,2d-ftu-lung-pulmonary-alveolus.ai,.ai,4
567,Pulmonary Alveolus,2d-ftu-lung-pulmonary-alveolus.png,.png,10
567,Pulmonary Alveolus,2d-ftu-lung-pulmonary-alveolus.svg,.svg,10
