country,countryId,requests
United States,840,1969730
Hong Kong,344,211566
Germany,276,183166
China,156,163385
Singapore,702,111828
United Kingdom,826,107703
France,250,99422
Japan,392,61709
Ireland,372,58227
Canada,124,57154
India,356,46234
Russia,643,44102
Netherlands,528,43537
Ecuador,218,42758
South Korea,410,32814
Australia,036,31326
Spain,724,27357
Italy,380,22295
Sweden,752,21557
Switzerland,756,19622
Brazil,076,18785
Vietnam,704,18612
Austria,040,18049
Poland,616,16954
Finland,246,13971
Turkey,792,11924
Taiwan,158,9475
Mexico,484,9253
Malaysia,458,8907
Indonesia,360,8437
Denmark,208,8121
Belgium,056,7530
Thailand,764,6822
Hungary,348,6549
Pakistan,586,6243
Egypt,818,5909
Portugal,620,5733
Iran,364,5571
Israel,376,5368
Argentina,032,5207
Norway,578,4713
Bulgaria,100,4522
New Zealand,554,4438
Chile,152,4334
Philippines,608,4017
Luxembourg,442,3810
Czechia,203,3790
Romania,642,3721
Colombia,170,3325
United Arab Emirates,784,2871
Morocco,504,2852
Bangladesh,050,2824
Greece,300,2773
Ukraine,804,2722
South Africa,710,2655
Saudi Arabia,682,2130
Croatia,191,2034
Algeria,012,1979
Serbia,688,1693
Lithuania,440,1582
Peru,604,1516
Seychelles,690,1331
Nigeria,566,1300
Puerto Rico,630,1250
Iraq,368,1216
Kazakhstan,398,1077
Cambodia,116,937
Kenya,404,909
Georgia,268,867
Bosnia and Herzegovina,070,856
Tunisia,788,821
Slovakia,703,809
Armenia,051,743
Oman,512,719
Venezuela,862,713
Belize,084,672
Uzbekistan,860,660
Nepal,524,610
Cyprus,196,592
Azerbaijan,031,554
Slovenia,705,520
Uruguay,858,512
Estonia,233,509
Qatar,634,502
Bolivia,068,464
Ethiopia,231,455
Jamaica,388,453
Albania,008,374
Jordan,400,358
Sri Lanka,144,349
Guatemala,320,318
Latvia,428,313
Uganda,800,312
Belarus,112,308
Lebanon,422,279
North Macedonia,807,275
Paraguay,600,230
Costa Rica,188,218
Mauritania,478,215
Ghana,288,213
Cameroon,120,204
Iceland,352,201
Kuwait,414,201
Yemen,887,194
Libya,434,191
Mongolia,496,185
Moldova,498,184
Dominican Republic,214,183
Macau,446,180
Monaco,492,178
Curaçao,531,177
Cote d'Ivoire,384,173
Tanzania,834,170
Panama,591,164
Grenada,308,157
El Salvador,222,154
Sudan,729,149
Zambia,894,149
Montenegro,499,143
Malta,470,141
Palestinian Territory,275,133
Trinidad and Tobago,780,104
Honduras,340,99
Syria,760,84
Reunion,638,78
Bahrain,048,76
Myanmar (Burma),104,76
Bhutan,064,74
Barbados,052,73
Cuba,192,70
Kyrgyzstan,417,65
Rwanda,646,59
Republic of Kosovo,,59
Afghanistan,004,56
Guinea-Bissau,624,56
Andorra,020,54
Isle of Man,833,52
Gabon,266,52
Brunei,096,51
Vanuatu,548,51
Zimbabwe,716,49
Guyana,328,48
Laos,418,45
Angola,024,44
Senegal,686,42
Democratic Republic of the Congo,180,42
Suriname,740,41
French Guiana,254,40
Maldives,462,40
Mozambique,508,39
Sierra Leone,694,34
Mauritius,480,33
Nicaragua,558,31
Tajikistan,762,30
Papua New Guinea,598,27
Malawi,454,18
The Bahamas,044,16
Eswatini,748,15
Namibia,516,12
Liechtenstein,438,10
Botswana,072,8
Burundi,108,8
Cape Verde,132,5
Djibouti,262,4
Turks and Caicos Islands,796,4
Czech Republic,,4
Togo,768,4
Burkina Faso,854,4
Republic of the Congo,178,4
Martinique,474,3
Turkmenistan,795,2
Mali,466,2
British Virgin Islands,092,2
Somalia,706,2
Madagascar,450,1
Sint Maarten,534,1
Falkland Islands (Islas Malvinas),238,1
South Sudan,728,1
Timor-Leste,626,1
Benin,204,1
