Entry ID,Title,Image File Name,Image File Extension,Downloads
20959,"Brain, Female",3d-vh-f-allen-brain.glb,.glb,11
20959,"Brain, Female",3d-vh-f-allen-brain_NIH3D.stl,.stl,52
20959,"Brain, Female",3d-vh-f-allen-brain_NIH3D.wrl,.wrl,6
20959,"Brain, Female",3d-vh-f-allen-brain_NIH3D.x3d,.x3d,5
20959,"Brain, Female",3d-vh-f-allen-brain_thumb_NIH3D.jpg,.jpg,0
20959,"Brain, Female",3d-vh-f-allen-brain_thumb_NIH3D.png,.png,2
20960,"Brain, Male",3d-vh-m-allen-brain.glb,.glb,14
20960,"Brain, Male",3d-vh-m-allen-brain_NIH3D.stl,.stl,86
20960,"Brain, Male",3d-vh-m-allen-brain_NIH3D.wrl,.wrl,4
20960,"Brain, Male",3d-vh-m-allen-brain_NIH3D.x3d,.x3d,8
20960,"Brain, Male",3d-vh-m-allen-brain_thumb_NIH3D.jpg,.jpg,0
20960,"Brain, Male",3d-vh-m-allen-brain_thumb_NIH3D.png,.png,4
20961,"Blood Vasculature, Female",VH_F_Blood_Vasculature.glb,.glb,6
20961,"Blood Vasculature, Female",vh_f_blood_vasculature_NIH3D.stl,.stl,12
20961,"Blood Vasculature, Female",vh_f_blood_vasculature_NIH3D.wrl,.wrl,4
20961,"Blood Vasculature, Female",vh_f_blood_vasculature_NIH3D.x3d,.x3d,4
20961,"Blood Vasculature, Female",vh_f_blood_vasculature_thumb_NIH3D.jpg,.jpg,0
20961,"Blood Vasculature, Female",vh_f_blood_vasculature_thumb_NIH3D.png,.png,1
20962,"Eye, Female, Left",3d-vh-f-eye-l.glb,.glb,1
20962,"Eye, Female, Left",3d-vh-f-eye-l_NIH3D.stl,.stl,1
20962,"Eye, Female, Left",3d-vh-f-eye-l_NIH3D.wrl,.wrl,1
20962,"Eye, Female, Left",3d-vh-f-eye-l_NIH3D.x3d,.x3d,1
20962,"Eye, Female, Left",3d-vh-f-eye-l_thumb_NIH3D.jpg,.jpg,0
20962,"Eye, Female, Left",3d-vh-f-eye-l_thumb_NIH3D.png,.png,1
20963,"Eye, Female, Right",3d-vh-f-eye-r.glb,.glb,1
20963,"Eye, Female, Right",3d-vh-f-eye-r_NIH3D.stl,.stl,2
20963,"Eye, Female, Right",3d-vh-f-eye-r_NIH3D.wrl,.wrl,2
20963,"Eye, Female, Right",3d-vh-f-eye-r_NIH3D.x3d,.x3d,1
20963,"Eye, Female, Right",3d-vh-f-eye-r_thumb_NIH3D.jpg,.jpg,0
20963,"Eye, Female, Right",3d-vh-f-eye-r_thumb_NIH3D.png,.png,1
20964,"Fallopian Tube, Female, Left",VH_F_Fallopian_Tube_L.glb,.glb,1
20964,"Fallopian Tube, Female, Left",vh_f_fallopian_tube_l_NIH3D.stl,.stl,3
20964,"Fallopian Tube, Female, Left",vh_f_fallopian_tube_l_NIH3D.wrl,.wrl,1
20964,"Fallopian Tube, Female, Left",vh_f_fallopian_tube_l_NIH3D.x3d,.x3d,1
20964,"Fallopian Tube, Female, Left",vh_f_fallopian_tube_l_thumb_NIH3D.jpg,.jpg,0
20964,"Fallopian Tube, Female, Left",vh_f_fallopian_tube_l_thumb_NIH3D.png,.png,2
20965,"Fallopian Tube, Female, Right",VH_F_Fallopian_Tube_R.glb,.glb,2
20965,"Fallopian Tube, Female, Right",vh_f_fallopian_tube_r_NIH3D.stl,.stl,5
20965,"Fallopian Tube, Female, Right",vh_f_fallopian_tube_r_NIH3D.wrl,.wrl,2
20965,"Fallopian Tube, Female, Right",vh_f_fallopian_tube_r_NIH3D.x3d,.x3d,3
20965,"Fallopian Tube, Female, Right",vh_f_fallopian_tube_r_thumb_NIH3D.jpg,.jpg,0
20965,"Fallopian Tube, Female, Right",vh_f_fallopian_tube_r_thumb_NIH3D.png,.png,4
20966,"Heart, Female",VH_F_Heart.glb,.glb,1
20966,"Heart, Female",vh_f_heart_NIH3D.stl,.stl,12
20966,"Heart, Female",vh_f_heart_NIH3D.wrl,.wrl,2
20966,"Heart, Female",vh_f_heart_NIH3D.x3d,.x3d,2
20966,"Heart, Female",vh_f_heart_thumb_NIH3D.jpg,.jpg,0
20966,"Heart, Female",vh_f_heart_thumb_NIH3D.png,.png,1
20967,"Kidney, Female, Left",VH_F_Kidney_L.glb,.glb,3
20967,"Kidney, Female, Left",vh_f_kidney_l_NIH3D.stl,.stl,5
20967,"Kidney, Female, Left",vh_f_kidney_l_NIH3D.wrl,.wrl,3
20967,"Kidney, Female, Left",vh_f_kidney_l_NIH3D.x3d,.x3d,3
20967,"Kidney, Female, Left",vh_f_kidney_l_thumb_NIH3D.jpg,.jpg,0
20967,"Kidney, Female, Left",vh_f_kidney_l_thumb_NIH3D.png,.png,3
20968,"Kidney, Female, Right",VH_F_Kidney_R.glb,.glb,6
